,region,model,length,accuracy,score,loss,perplexity
743,lcdr3,balmMoE,8,0.75,0.7277981750667095,0.33739519119262695,3.7591270953416824
744,hcdr3,balmMoE,6,0.8333333333333334,0.8788093626499176,0.043162282556295395,1.4381397366523743
745,lcdr3,balmMoE,9,0.8888888888888888,0.909731388092041,0.0015658981865271926,20.384299053086174
746,hcdr3,balmMoE,14,0.6428571428571429,0.6378095543810299,0.6018614172935486,20.451406376702444
747,lcdr3,balmMoE,9,0.7777777777777778,0.7696384522649977,0.10140349715948105,6.360424915949504
748,hcdr3,balmMoE,14,0.7857142857142857,0.6203817203640938,0.30089184641838074,3.231816598347255
749,lcdr3,balmMoE,10,0.9,0.8514846533536911,0.13817167282104492,10.445365869998932
750,hcdr3,balmMoE,12,0.5,0.5030541233718395,1.544089674949646,14.852465232213339
751,lcdr3,balmMoE,12,0.8333333333333334,0.7665408179163933,0.19265583157539368,1.7046645482381184
752,hcdr3,balmMoE,11,0.6363636363636364,0.6874025436964902,0.22920385003089905,51.588502710515804
753,lcdr3,balmMoE,9,0.8888888888888888,0.8874033093452454,0.06102752313017845,13.27264932791392
754,hcdr3,balmMoE,18,0.7222222222222222,0.6917389585740037,0.3778075575828552,5.934162583616045
755,lcdr3,balmMoE,11,0.8181818181818182,0.8468052230098031,0.002804470481351018,3.3558457547968086
756,hcdr3,balmMoE,16,0.9375,0.8031521523371339,0.12619082629680634,2.5584162175655365
757,lcdr3,balmMoE,9,0.8888888888888888,0.9172565208541023,0.00440168147906661,95.46922841336992
758,hcdr3,balmMoE,13,0.6153846153846154,0.6435093363890281,0.7190300822257996,14.584826496931223
759,lcdr3,balmMoE,10,0.6,0.9187991261482239,0.07046142965555191,829.8593889474869
760,hcdr3,balmMoE,13,0.46153846153846156,0.5280475467443466,1.6400134563446045,29.154544436014614
761,lcdr3,balmMoE,9,1.0,0.905920147895813,0.02619354799389839,1.1344024870130751
762,hcdr3,balmMoE,17,0.9411764705882353,0.9018858320572797,0.02833304926753044,1.1626029575572294
763,lcdr3,balmMoE,7,0.7142857142857143,0.8487558748040881,0.030864039435982704,28.43801055635725
764,hcdr3,balmMoE,14,0.7142857142857143,0.6984103109155383,1.023045539855957,22.06800204515457
765,lcdr3,balmMoE,11,1.0,0.9465335255319421,0.00019504076044540852,1.1027958393096924
766,hcdr3,balmMoE,19,0.5789473684210527,0.6662315098862899,0.15963208675384521,7.709285152585883
767,lcdr3,balmMoE,9,0.8888888888888888,0.9249060882462395,0.0007362465257756412,1.2670183579126995
768,hcdr3,balmMoE,14,0.42857142857142855,0.5971240837659154,1.8416286706924438,51.93625668116978
769,lcdr3,balmMoE,8,0.75,0.8715032562613487,0.060994796454906464,4.876943424344063
770,hcdr3,balmMoE,16,0.5625,0.6638221051543951,0.9226995706558228,48.87732423841953
771,lcdr3,balmMoE,10,0.8,0.8309878945350647,0.1228010505437851,12.515422081947326
772,hcdr3,balmMoE,14,0.7142857142857143,0.7538661743913379,0.19175437092781067,5.753624388149807
773,lcdr3,balmMoE,9,0.7777777777777778,0.8969055480427213,0.0487765334546566,80.14893445703719
774,hcdr3,balmMoE,12,0.9166666666666666,0.7751377746462822,0.14701835811138153,2.091465493043264
775,lcdr3,balmMoE,10,0.9,0.9391378343105317,0.0008917491650208831,2.9720978021621702
776,hcdr3,balmMoE,19,0.631578947368421,0.6950595127908807,0.8004511594772339,11.673244984526383
777,lcdr3,balmMoE,9,1.0,0.9305325084262424,0.04047944396734238,1.083354738023546
778,hcdr3,balmMoE,14,0.7142857142857143,0.6557140052318573,0.545001208782196,3.9737934044429233
779,lcdr3,balmMoE,9,1.0,0.8532100054952834,0.07311543077230453,1.2312070793575711
780,hcdr3,balmMoE,19,0.5263157894736842,0.6008748851324383,1.6221306324005127,32.75242532554426
781,lcdr3,balmMoE,12,0.9166666666666666,0.8347410609324774,0.1130153089761734,187.516004661719
782,hcdr3,balmMoE,15,0.6,0.7019067982832591,0.5999583601951599,16.0691313346227
783,lcdr3,balmMoE,10,0.6,0.8118561446666718,0.4259639084339142,2424.9610176205633
784,hcdr3,balmMoE,19,0.5789473684210527,0.7084220694868189,0.5626211762428284,4911.654715192945
785,lcdr3,balmMoE,10,0.9,0.8718405425548553,0.14389553666114807,17.787340939044952
786,hcdr3,balmMoE,13,0.6923076923076923,0.6342843587581928,0.5471288561820984,3.6311207826320944
787,lcdr3,balmMoE,9,0.8888888888888888,0.9269725680351257,0.050182145088911057,8.686716463830736
788,hcdr3,balmMoE,18,0.7777777777777778,0.8071484077307913,0.049152910709381104,176.72652733325958
789,lcdr3,balmMoE,9,0.8888888888888888,0.9176716572708554,0.0007120328373275697,2.571622225973341
790,hcdr3,balmMoE,19,0.42105263157894735,0.6716567199481162,1.549682378768921,144.08423386749467
791,lcdr3,balmMoE,10,0.7,0.813715572655201,0.028532464057207108,178.13231506347657
792,hcdr3,balmMoE,17,0.5294117647058824,0.6433855119873496,1.1892682313919067,35.369373833431915
793,lcdr3,balmMoE,11,0.9090909090909091,0.8085684857585214,0.1431903839111328,1.9200433492660522
794,hcdr3,balmMoE,12,0.4166666666666667,0.5360588282346725,2.0430946350097656,114.62102116147678
795,lcdr3,balmMoE,9,0.6666666666666666,0.6239103857013915,0.749538004398346,13.409815629323324
796,hcdr3,balmMoE,13,0.3076923076923077,0.5617744796551191,2.1999881267547607,44.59088477721581
797,lcdr3,balmMoE,8,1.0,0.7802779525518417,0.14206364750862122,1.5022967457771301
798,hcdr3,balmMoE,10,0.7,0.697557906806469,0.029453523457050323,3.40192848443985
799,lcdr3,balmMoE,12,0.9166666666666666,0.9072210441033045,0.0012589514954015613,1.587852567434311
800,hcdr3,balmMoE,14,0.5,0.614936888217926,1.7616863250732422,677.8651848946299
801,lcdr3,balmMoE,9,0.6666666666666666,0.7749017725388209,0.04149523004889488,91.92484388086531
802,hcdr3,balmMoE,17,0.7647058823529411,0.7225625243257073,0.14485642313957214,12.703784234383527
803,lcdr3,balmMoE,10,0.8,0.8413146615028382,0.13354100286960602,2.7454288244247436
804,hcdr3,balmMoE,19,0.7894736842105263,0.7880581836951407,0.003363126190379262,2.118624862871672
805,lcdr3,balmMoE,9,1.0,0.9668729835086398,0.00045805893023498356,1.0414290295706854
806,hcdr3,balmMoE,22,0.22727272727272727,0.4096921438520605,2.65885066986084,63.580040823329576
