,region,model,accuracy,score,loss,perplexity
29,HC-FR1,balmMoE,1.0,0.999963150024414,2.9187129257479683e-05,1.0000368499755858
30,HC-FR1,balmMoE,1.0,0.9998301196098328,5.1289531256770715e-05,1.000170021057129
31,HC-FR1,balmMoE,1.0,0.9923359107971191,2.212791150668636e-05,1.0094501972198486
32,HC-FR1,balmMoE,1.0,0.9999241399765014,1.770817289070692e-05,1.0000759029388429
33,HC-FR1,balmMoE,1.0,0.9997546458244324,7.265889144036919e-05,1.0002455997467041
34,HC-FR1,balmMoE,1.0,0.9999503850936889,1.7579384802957065e-05,1.0000496244430541
35,HC-FR1,balmMoE,1.0,0.9999377751350402,2.3138780306908302e-05,1.0000622367858887
36,HC-FR1,balmMoE,0.96,0.9827452802658081,0.00010353627294534817,1.0540527391433716
37,HC-FR1,balmMoE,1.0,0.9999351477622986,3.804404695983976e-05,1.0000648641586303
38,HC-FR1,balmMoE,1.0,0.9913780736923218,2.3338468963629566e-05,1.0109698820114135
39,HC-FR1,balmMoE,1.0,0.9999902057647705,7.088722213666188e-06,1.0000097942352295
40,HC-FR1,balmMoE,1.0,0.9999793791770935,9.343235433334485e-06,1.0000206232070923
41,HC-FR1,balmMoE,1.0,0.9900536513328553,4.279011409380473e-05,1.0130815267562867
42,HC-FR1,balmMoE,1.0,0.999961941242218,1.9627354049589485e-05,1.0000380611419677
43,HC-FR1,balmMoE,1.0,0.9999485421180725,3.293579356977716e-05,1.0000514602661132
44,HC-FR1,balmMoE,1.0,0.999934356212616,3.785742956097238e-05,1.0000656509399415
45,HC-FR1,balmMoE,1.0,0.9701217246055603,0.01273315493017435,1.0331703948974609
46,HC-FR1,balmMoE,1.0,0.9999683213233947,8.505120604240801e-06,1.000031681060791
47,HC-FR1,balmMoE,1.0,0.999681658744812,0.0001312960812356323,1.0003186798095702
48,HC-FR1,balmMoE,1.0,0.999786627292633,0.0001384165370836854,1.0002134609222413
49,HC-FR1,balmMoE,1.0,0.9999602961540223,1.7912416296894662e-05,1.0000397062301636
50,HC-FR1,balmMoE,1.0,0.9997299075126648,1.4730222574144136e-05,1.0002706336975098
51,HC-FR1,balmMoE,1.0,0.9988666486740112,0.0005369216669350863,1.0011362504959107
52,HC-FR1,balmMoE,1.0,0.9881638479232788,8.866903954185545e-05,1.0165809965133668
53,HC-FR1,balmMoE,1.0,0.9998993277549744,2.9726712455158122e-05,1.0001007080078126
54,HC-FR1,balmMoE,1.0,0.9999401211738587,2.552399928390514e-05,1.0000598907470704
55,HC-FR1,balmMoE,1.0,0.9998456859588623,2.8099919290980324e-05,1.000154447555542
56,HC-FR1,balmMoE,1.0,0.9998879790306091,2.333838892809581e-05,1.0001120948791504
57,HC-FR1,balmMoE,1.0,0.9997417664527893,1.6199375750147738e-05,1.0002595949172974
58,HC-FR1,balmMoE,1.0,0.9999748134613037,1.3934065464127343e-05,1.0000251865386962
59,HC-FR1,balmMoE,0.96,0.9672433352470398,0.00010769320942927152,1.1155519199371338
60,HC-FR1,balmMoE,1.0,0.9999694108963013,1.984022128453944e-05,1.0000305891036987
61,HC-FR1,balmMoE,1.0,0.9997526025772094,6.306590512394905e-05,1.0002475833892823
62,HC-FR1,balmMoE,1.0,0.9999626016616822,1.3183980627218261e-05,1.0000374031066894
63,HC-FR1,balmMoE,1.0,0.9999584531784058,1.75229743035743e-05,1.0000415515899659
64,HC-FR1,balmMoE,1.0,0.9995756435394287,0.000273605139227584,1.0004247617721558
65,HC-FR1,balmMoE,1.0,0.9999029946327209,2.7394336939323694e-05,1.0000970602035522
66,HC-FR1,balmMoE,1.0,0.9999175477027893,4.694960807682946e-05,1.0000824642181396
67,HC-FR1,balmMoE,1.0,0.9999622941017151,1.3324406609172001e-05,1.0000377130508422
68,HC-FR1,balmMoE,1.0,0.9996741700172425,0.00017612279043532908,1.0003260946273804
69,HC-FR1,balmMoE,1.0,0.9999351263046264,2.259276880067773e-05,1.0000648880004883
70,HC-FR1,balmMoE,1.0,0.999867877960205,0.00010121830564457923,1.000132155418396
71,HC-FR1,balmMoE,1.0,0.9999447917938232,2.101873542414978e-05,1.0000552177429198
72,HC-FR1,balmMoE,1.0,0.9999628043174744,1.5170887309068348e-05,1.0000371980667113
73,HC-FR1,balmMoE,1.0,0.9999186134338379,6.072151882108301e-05,1.0000813913345337
74,HC-FR1,balmMoE,1.0,0.9998648834228515,6.300199311226606e-05,1.0001351642608642
75,HC-FR1,balmMoE,1.0,0.9999290299415589,9.958626833395101e-06,1.000071029663086
76,HC-FR1,balmMoE,1.0,0.9998709154129028,7.203491259133443e-05,1.0001291275024413
77,HC-FR1,balmMoE,1.0,0.9999690723419189,1.5098836229299195e-05,1.000030927658081
78,HC-FR1,balmMoE,1.0,0.9999036693572998,5.2011790103279054e-05,1.0000963497161866
79,HC-FR1,balmMoE,1.0,0.9999552416801453,2.0918190784868784e-05,1.000044765472412
80,HC-FR1,balmMoE,1.0,0.9999496412277221,3.439678039285354e-05,1.0000503587722778
81,HC-FR1,balmMoE,1.0,0.9998405480384827,4.410788824316114e-05,1.0001595544815063
82,HC-FR1,balmMoE,1.0,0.9999066948890686,2.4040136850089766e-05,1.000093355178833
83,HC-FR1,balmMoE,1.0,0.9995748233795166,4.2098297853954136e-05,1.0004282474517823
84,HC-FR1,balmMoE,1.0,0.999923963546753,2.7176974981557578e-05,1.000076050758362
85,HC-FR1,balmMoE,1.0,0.9994740819931031,0.00013964679965283722,1.0005272912979126
86,HC-FR1,balmMoE,1.0,0.991822805404663,5.8870391512755305e-05,1.0102018547058105
87,HC-FR1,balmMoE,1.0,0.9999185967445373,4.132112007937394e-05,1.0000814199447632
88,HC-FR1,balmMoE,1.0,0.9999404788017273,4.7233836085069925e-05,1.00005952835083
89,HC-FR1,balmMoE,1.0,0.9933422803878784,4.8448258894495666e-05,1.0079370403289796
90,HC-FR1,balmMoE,1.0,0.9999215817451477,4.94198793603573e-05,1.000078444480896
91,HC-FR1,balmMoE,1.0,0.9999397730827332,1.3005186701775528e-05,1.0000602388381958
92,HC-FR1,balmMoE,1.0,0.9999673986434936,1.9697890820680186e-05,1.0000326013565064
93,HC-FR1,balmMoE,1.0,0.9923312020301819,3.3233442081836984e-05,1.0094260692596435
94,HC-FR1,balmMoE,1.0,0.9997332000732422,9.828335169004276e-05,1.0002670097351074
95,HC-FR1,balmMoE,1.0,0.9946707463264466,1.586259895702824e-05,1.0061399602890015
96,HC-FR1,balmMoE,1.0,0.9999462080001831,4.475908644963056e-05,1.000053791999817
97,HC-FR1,balmMoE,1.0,0.9999465370178222,2.9607417673105374e-05,1.0000534677505493
98,HC-FR1,balmMoE,1.0,0.999893708229065,6.92259127390571e-05,1.000106315612793
99,HC-FR1,balmMoE,1.0,0.9999674081802368,2.4407987439190038e-05,1.0000325918197632
100,HC-FR1,balmMoE,1.0,0.9999276852607727,2.289196891069878e-05,1.000072340965271
101,HC-FR1,balmMoE,1.0,0.9999689745903015,1.617045381863136e-05,1.0000310277938842
102,HC-FR1,balmMoE,1.0,0.999925148487091,1.7081521946238354e-05,1.000074906349182
103,HC-FR1,balmMoE,1.0,0.9997441244125366,0.0001382847549393773,1.0002560377120973
104,HC-FR1,balmMoE,1.0,0.9999615168571472,1.7466403733124025e-05,1.0000384855270386
105,HC-FR1,balmMoE,1.0,0.9998063635826111,2.7924415917368606e-05,1.0001940441131592
106,HC-FR1,balmMoE,1.0,0.9999421167373658,2.4037848561420105e-05,1.0000578927993775
107,HC-FR1,balmMoE,1.0,0.9999558210372925,1.309923391090706e-05,1.0000441884994506
108,HC-FR1,balmMoE,1.0,0.999965271949768,2.14320098166354e-05,1.000034728050232
109,HC-FR1,balmMoE,1.0,0.9996579051017761,2.6821880965144373e-05,1.0003442001342773
110,HC-FR1,balmMoE,1.0,0.9999769735336304,1.1885234016517643e-05,1.0000230264663696
111,HC-FR1,balmMoE,1.0,0.999926643371582,2.7775089620263316e-05,1.0000733709335328
112,HC-FR1,balmMoE,1.0,0.9998860859870911,7.595741772092879e-05,1.0001139450073242
113,HC-FR1,balmMoE,1.0,0.9999568796157837,2.701316770981066e-05,1.0000431251525879
114,HC-FR1,balmMoE,1.0,0.9998827719688416,3.616632966441102e-05,1.0001172971725465
115,HC-FR1,balmMoE,1.0,0.9999380922317505,2.283413050463423e-05,1.0000619173049927
116,HC-FR1,balmMoE,1.0,0.9892194962501526,7.243676373036578e-05,1.014430274963379
117,HC-FR1,balmMoE,1.0,0.9992707228660583,9.994060383178294e-05,1.000736312866211
118,HC-FR1,balmMoE,1.0,0.9998865842819213,6.460375880124047e-05,1.0001134443283082
119,HC-FR1,balmMoE,1.0,0.9908523821830749,2.6953322958434e-05,1.0117882537841796
120,HC-FR1,balmMoE,1.0,0.9999813604354858,1.0551409104664344e-05,1.000018639564514
121,HC-FR1,balmMoE,1.0,0.9999711203575135,1.0485006896487903e-05,1.0000288820266723
122,HC-FR1,balmMoE,1.0,0.9999359488487244,4.085200998815708e-05,1.0000640535354615
123,HC-FR1,balmMoE,1.0,0.9999689221382141,1.4180737707647495e-05,1.0000310802459718
124,HC-FR1,balmMoE,1.0,0.9998621821403504,5.106743628857657e-05,1.0001378774642944
125,HC-FR1,balmMoE,1.0,0.9999139022827148,3.607867256505415e-05,1.0000861120223998
126,HC-FR1,balmMoE,1.0,0.9993787670135498,0.00027267495170235634,1.0006223106384278
127,HC-FR1,balmMoE,1.0,0.9999229407310486,5.619497460429557e-05,1.000077075958252
128,HC-FR1,balmMoE,1.0,0.9999680972099304,1.1704363714670762e-05,1.0000319051742554
129,HC-FR1,balmMoE,1.0,0.9999335217475891,3.65283340215683e-05,1.0000664854049683
130,HC-FR1,balmMoE,1.0,0.9999171662330627,4.887277100351639e-05,1.0000828456878663
131,HC-FR1,balmMoE,1.0,0.9998034763336182,3.770766852539964e-05,1.0001967477798461
132,HC-FR1,balmMoE,1.0,0.9998822522163391,6.588239193661138e-05,1.0001178073883057
133,HC-FR1,balmMoE,0.96,0.9962654376029968,5.593437163042836e-05,1.3978105640411378
134,HC-FR1,balmMoE,1.0,0.9998951244354248,2.6286130378139205e-05,1.0001049375534057
135,HC-FR1,balmMoE,1.0,0.999910991191864,3.6473174986895174e-05,1.000089030265808
136,HC-FR1,balmMoE,1.0,0.9999187088012695,2.4058228518697433e-05,1.0000813102722168
137,HC-FR1,balmMoE,1.0,0.9895707488059997,1.3642677004099824e-05,1.0140930891036988
