,region,model,accuracy,score,loss,perplexity
54,HC-FR1,balmMoE,1.0,0.9844413876533509,0.009926439262926579,1.0160931539535523
55,HC-FR1,balmMoE,0.92,0.9915682196617126,0.0028416889254003763,109.97549769878387
56,HC-FR1,balmMoE,1.0,0.9747769260406494,0.01364835910499096,1.0268601274490357
57,HC-FR1,balmMoE,1.0,0.9998456454277038,2.7462925572763197e-05,1.0001546335220337
58,HC-FR1,balmMoE,0.96,0.974780888557434,0.010542061179876328,23.64252266407013
59,HC-FR1,balmMoE,1.0,0.9838239979743958,0.007867024280130863,1.0171409273147582
60,HC-FR1,balmMoE,1.0,0.9677678728103638,0.01598191447556019,1.0353366327285767
61,HC-FR1,balmMoE,1.0,0.9999440622329712,1.4222996469470672e-05,1.0000559616088867
62,HC-FR1,balmMoE,1.0,0.9348129701614379,0.01775803044438362,1.0842447233200074
63,HC-FR1,balmMoE,0.84,0.947922477722168,0.02199043706059456,17.583462762832642
64,HC-FR1,balmMoE,0.96,0.9532240772247315,0.0332319475710392,2.596615123748779
65,HC-FR1,balmMoE,1.0,0.98182452917099,0.012514135800302029,1.018889946937561
66,HC-FR1,balmMoE,1.0,0.9739328908920288,0.0082568833604455,1.0309592008590698
67,HC-FR1,balmMoE,1.0,0.9999419450759888,1.5433972293976694e-05,1.0000580644607544
68,HC-FR1,balmMoE,1.0,0.9991215658187866,8.054642239585519e-05,1.0008916711807252
69,HC-FR1,balmMoE,0.88,0.9357127332687378,0.035102467983961105,10.290329732894897
70,HC-FR1,balmMoE,0.96,0.9847523021697998,0.005152976140379906,4.376735434532166
71,HC-FR1,balmMoE,0.96,0.9551487445831299,0.032150253653526306,1.3808457517623902
72,HC-FR1,balmMoE,0.96,0.9639797997474671,0.011751051992177963,1.5521025466918945
73,HC-FR1,balmMoE,1.0,0.999873914718628,7.551268208771944e-05,1.0001261234283447
74,HC-FR1,balmMoE,0.92,0.9010845732688904,0.03913451358675957,3.636544280052185
75,HC-FR1,balmMoE,0.96,0.9750002145767211,0.010468563064932823,8.455815901756287
76,HC-FR1,balmMoE,0.92,0.9334477519989014,0.050424568355083466,2.368651757240295
