,region,model,length,accuracy,score,loss,perplexity
0,hcdr3,balmMoE,23,0.8260869565217391,0.7634790669316831,0.007814189419150352,4.622403808262037
1,lcdr3,balmMoE,9,1.0,0.8992403381400638,0.00011574085510801524,1.2456257740656536
2,hcdr3,balmMoE,19,0.7368421052631579,0.7483906236134077,0.024664781987667084,8.258282855937356
3,lcdr3,balmMoE,12,0.8333333333333334,0.8864441166321436,0.0006584140355698764,1.7199710508187611
4,hcdr3,balmMoE,16,0.5625,0.6151350764557719,0.43049877882003784,6.016885280609131
5,lcdr3,balmMoE,9,0.8888888888888888,0.9193057616551717,0.0019917339086532593,1.6412715514500935
6,hcdr3,balmMoE,10,0.5,0.5533546388149262,1.2936975955963135,9.421689713001252
7,lcdr3,balmMoE,11,0.9090909090909091,0.9219519225033846,0.0013452423736453056,2.335027434609153
8,hcdr3,balmMoE,16,0.625,0.7105294512584805,0.22440850734710693,12.009303867816925
9,lcdr3,balmMoE,8,0.875,0.8692789562046528,0.0028975349850952625,4.612370565533638
10,hcdr3,balmMoE,19,0.6842105263157895,0.739172856274404,0.08875888586044312,16.28770571005972
11,lcdr3,balmMoE,10,0.9,0.9117804020643234,0.00267090555280447,1.9705816388130188
12,hcdr3,balmMoE,13,0.6923076923076923,0.5791006970864075,0.5184997916221619,7.059599867233863
13,lcdr3,balmMoE,9,0.8888888888888888,0.8667366239759657,0.07327407598495483,1.2690048217773438
14,hcdr3,balmMoE,14,0.5,0.5766039629067693,1.2852156162261963,6.235317885875702
15,lcdr3,balmMoE,9,1.0,0.9511852198176913,0.001122980029322207,1.0668410195244684
16,hcdr3,balmMoE,21,0.8095238095238095,0.7754938332807451,0.005914690904319286,3.421324133872986
17,lcdr3,balmMoE,10,0.9,0.9226492404937744,0.001430773874744773,6.949632167816162
18,hcdr3,balmMoE,19,0.6842105263157895,0.7123646759673169,0.08935803174972534,17.259535990263288
19,lcdr3,balmMoE,9,0.8888888888888888,0.9420977301067777,0.0005161729059182107,2.4783057371775308
20,hcdr3,balmMoE,15,0.5333333333333333,0.5635066539049148,1.4734631776809692,27.082081429163615
21,lcdr3,balmMoE,10,0.9,0.9070313721895218,0.000785487238317728,1.46554936170578
22,hcdr3,balmMoE,17,0.8235294117647058,0.78473620642634,0.0052802907302975655,10.21803574702319
23,lcdr3,balmMoE,11,0.8181818181818182,0.9586333524097096,0.0004232450155541301,5.439849701794711
24,hcdr3,balmMoE,17,0.5882352941176471,0.6489872358301106,0.34374621510505676,6.6704698240055755
25,lcdr3,balmMoE,9,1.0,0.929206477271186,0.00015064523904584348,1.168875190946791
26,hcdr3,balmMoE,15,0.6,0.6567316631476084,0.694456160068512,6.205225729942322
27,lcdr3,balmMoE,12,0.75,0.8798756897449493,0.00059287971816957,10.59704421957334
28,hcdr3,balmMoE,21,0.8095238095238095,0.7663549177703404,0.005652177147567272,2.657172668547857
29,lcdr3,balmMoE,9,0.8888888888888888,0.917847388320499,0.0006891770171932876,1.355400800704956
30,hcdr3,balmMoE,10,0.6,0.6189252972602844,0.7578045725822449,23.91094180345535
31,lcdr3,balmMoE,9,0.8888888888888888,0.9195996655358208,0.001554998685605824,2.5059392054875693
32,hcdr3,balmMoE,20,0.85,0.7385462861508131,0.08777230232954025,4.314268708229065
33,lcdr3,balmMoE,12,0.8333333333333334,0.9050930564602216,0.00011038633238058537,10.571232487758001
34,hcdr3,balmMoE,16,0.5,0.649879576638341,1.1596269607543945,11.49801192432642
35,lcdr3,balmMoE,10,0.9,0.9442163646221161,0.00021954745170660317,1.5919078707695007
36,hcdr3,balmMoE,20,0.65,0.6347807303071022,0.3871878981590271,19.97895803451538
37,lcdr3,balmMoE,12,0.9166666666666666,0.8632807483275732,0.046763502061367035,6.502774288256963
38,hcdr3,balmMoE,18,0.7777777777777778,0.7357757687568665,0.12401513010263443,6.185408929983775
39,lcdr3,balmMoE,10,0.9,0.9688668429851532,0.0011185057228431106,47.8830709695816
40,hcdr3,balmMoE,15,0.7333333333333333,0.813213191429774,0.018177136778831482,19.067427937189738
41,lcdr3,balmMoE,9,0.8888888888888888,0.9388159844610426,0.0005418197251856327,2.752946694691976
42,hcdr3,balmMoE,19,0.3684210526315789,0.5170228598933471,1.9836219549179077,28.314945873461273
43,lcdr3,balmMoE,9,0.8888888888888888,0.878492169910007,0.0022680589463561773,4.110340038935344
44,hcdr3,balmMoE,24,0.7083333333333334,0.7859947135051092,0.0029804538935422897,4.307817334930102
45,lcdr3,balmMoE,9,0.8888888888888888,0.9001142746872373,0.0021351210307329893,1.208845443195767
46,hcdr3,balmMoE,17,0.7647058823529411,0.7599570987855687,0.2808181345462799,115.63010149843552
47,lcdr3,balmMoE,10,0.9,0.9845128893852234,0.0002294293517479673,2.6418116450309754
48,hcdr3,balmMoE,20,0.65,0.6773335680365562,0.4717281460762024,4.355562007427215
49,lcdr3,balmMoE,9,0.8888888888888888,0.9526464343070984,0.00024703246890567243,4.911674989594354
50,hcdr3,balmMoE,17,0.7647058823529411,0.7136068721027935,0.11928920447826385,4.782743180499358
